rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
36838,37549,38656,38854,38616,38933,38893,59486,Chuck Grip
40395,38024,38854,39723,39644,39763,39684,56561,Chuck Grip
41344,39091,38893,40118,40395,40158,39723,49407,Chuck Grip
41423,39407,38695,40553,40988,40514,40316,45968,Chuck Grip
42964,38656,38695,40751,41225,40830,41067,45217,Chuck Grip
43794,37707,38814,40395,40790,40632,41107,43201,Chuck Grip
42925,36601,39328,40000,40079,40276,40869,43676,Chuck Grip
41660,35375,39960,39881,39763,40039,40632,45296,Chuck Grip
40672,38854,40435,40039,40039,40079,40237,44111,Chuck Grip
39842,43834,40593,40118,40197,40000,39881,41304,Chuck Grip
39288,45573,40830,39763,39802,39802,39565,37865,Chuck Grip
38933,44782,40988,39644,39605,39605,39367,35375,Chuck Grip
38735,43201,40830,39565,39446,39486,39288,32767,Chuck Grip
38379,41423,40593,39367,39170,39407,38893,29328,Chuck Grip
38221,39881,40079,39407,39209,39367,38656,27391,Chuck Grip
38300,38814,39565,39525,39446,39367,38695,28142,Chuck Grip
38024,38103,39170,39565,39605,39486,38854,33557,Chuck Grip
37944,38024,39130,39605,39486,39644,39130,39842,Chuck Grip
38419,38024,39249,39763,39446,39565,39486,42332,Chuck Grip
39091,38182,39367,39842,39407,39684,39921,43241,Chuck Grip
39486,38379,39446,39684,39605,39684,40316,44901,Chuck Grip
39723,38616,39407,39525,39605,39644,40790,46680,Chuck Grip
40632,38933,39446,39565,39842,39842,41027,49960,Chuck Grip
41818,39328,39565,39881,40356,40276,40948,54862,Chuck Grip
41620,39525,39605,40118,40711,40474,40553,54585,Chuck Grip
41186,39644,39605,40118,40632,40356,39605,46838,Chuck Grip
41225,39921,39842,39960,40395,40118,39012,36680,Chuck Grip
41186,40356,40197,39960,40395,40079,38972,27589,Chuck Grip
40672,40711,40316,40197,40711,40395,38972,25217,Chuck Grip
39605,40869,40237,40237,40672,40276,39170,25217,Chuck Grip
